int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
146;V4016;$1.;/* Qnts empregados trabalhavam nesse neg?cio/empresa*/          ;1;0;146;c;TRUE
147;V40161;$1.;/* 1 a 5 empregados */          ;1;0;147;c;TRUE
148;V40162;$2.;/* 6 a 10 empregados */          ;2;0;149;c;TRUE
150;V40163;$2.;/* 11 a 50 empregados */          ;2;0;151;c;TRUE
152;V4017;$1.;/* Tinha pelo menos um s?cio que trab. nesse neg?cio/empresa*/      ;1;0;152;c;TRUE
153;V40171;$1.;/* Quantos s?cios */            ;1;0;153;c;TRUE
154;V401711;$1.;/* 1 a 5 s?cios */          ;1;0;154;c;TRUE
155;V4018;$1.;/* Qnts pessoas trabalhavam nesse neg?cio/empresa */         ;1;0;155;c;TRUE
156;V40181;$1.;/* 1 a 5pessoas */           ;1;0;156;c;TRUE
157;V40182;$2.;/* 6 a 10pessoas */           ;2;0;158;c;TRUE
159;V40183;$2.;/* 11 a 50pessoas */           ;2;0;160;c;TRUE
161;V4019;$1.;/* Neg?cio/empresa registrado no CNPJ*/           ;1;0;161;c;TRUE
162;V4020;$1.;/* Em que tipo de local funcionava esse neg?cio/empresa*/       ;1;0;162;c;TRUE
163;V4021;$1.;/* Exercia o trabalho em estabelecimento desse neg?cio/empresa*/        ;1;0;163;c;TRUE
164;V4022;$1.;/* Onde exercia normalmente esse trabalho*/          ;1;0;164;c;TRUE
165;V4024;$1.;/* Serv. dom?st. em mais de 1 domic. */       ;1;0;165;c;TRUE
166;V4025;$1.;/* Contratado como empreg. tempor?rio*/           ;1;0;166;c;TRUE
167;V4026;$1.;/* Era contratado somente por pessoa respons?vel pelo neg?cio */      ;1;0;167;c;TRUE
168;V4027;$1.;/* Era contratado somente por intermedi?rio */         ;1;0;168;c;TRUE
169;V4028;$1.;/* Servidor p?blico estatut?rio */           ;1;0;169;c;TRUE
170;V4029;$1.;/* Carteira de trabalho assinada */          ;1;0;170;c;TRUE
171;V4030;$1.;/* Era assoc. a coop. de trab. ou associa??o de produ??o */    ;1;0;171;c;TRUE
172;V4031;$1.;/* Condi??o em rela??o ao neg?cio/empresa */         ;1;0;172;c;TRUE
173;V4032;$1.;/* Contribuinte de instit. d previd. */         ;1;0;173;c;TRUE
174;V4033;$1.;/* Rendimento habitual var. auxil. */          ;1;0;174;c;TRUE
175;V40331;$1.;/* Rendimento habitual em dinheiro */          ;1;0;175;c;TRUE
176;V403311;$1.;/* Faixa do valor do rendimento hab. */        ;1;0;176;c;TRUE
177;V403312;8.;/* Valor do rend. hab. em dinheiro */        ;8;0;184;i;FALSE
185;V40332;$1.;/* Rendimento habitual em produtos */          ;1;0;185;c;TRUE
186;V403321;$1.;/* Faixa do valor do rendimento hab. */        ;1;0;186;c;TRUE
187;V403322;8.;/* Valor do rend. hab. em produtos */        ;8;0;194;i;FALSE
195;V40333;$1.;/* Rendimento habitual em benef?cios */          ;1;0;195;c;TRUE
196;V403331;$1.;/* Tipo rend. habitual em benef?cios */         ;1;0;196;c;TRUE
197;V4034;$1.;/* Rendimento efetivo var. auxil. */          ;1;0;197;c;TRUE
198;V40341;$1.;/* Rendimento efetivo em dinheiro */          ;1;0;198;c;TRUE
199;V403411;$1.;/* Faixa do valor do rendimento efe. */        ;1;0;199;c;TRUE
200;V403412;8.;/* Valor do rend. efe. em dinheiro */        ;8;0;207;i;FALSE
208;V40342;$1.;/* Rendimento efetivo em produtos */          ;1;0;208;c;TRUE
209;V403421;$1.;/* Faixa do valor do rendimento efe. */        ;1;0;209;c;TRUE
210;V403422;8.;/* Valor do rend. efe. em produtos */        ;8;0;217;i;FALSE
218;V4035;$1.;/* Jornada de trab. das 5 da manh? as 10 da noite */   ;1;0;218;c;TRUE
219;V4036;$1.;/* Jornada de trab. das 10 da noite as 5 da manh?*/    ;1;0;219;c;TRUE
220;V4039;3.;/* Hrs habituais no trab. princ. */         ;3;0;222;i;FALSE
223;V4039C;3.;/* Hrs efetivas no trab. princ. */         ;3;0;225;i;FALSE
226;V4040;$1.;/* Tempo que estava nesse trabalho */         ;1;0;226;c;TRUE
227;V40401;2.;/* De 1 m?s a menos de 1 ano */      ;2;0;228;i;FALSE
229;V40402;2.;/* De 1 ano a menos de 2 anos */      ;2;0;230;i;FALSE
231;V40403;2.;/* De 2 anos ou mais tempo */        ;2;0;232;i;FALSE
233;V4041;$4.;/* Ocupa??o no trab. secund?rio */          ;4;0;236;c;TRUE
237;V4043;$1.;/* Posi??o na ocupa??o */           ;1;0;237;c;TRUE
238;V40431;$1.;/* Tipo trabalhador n?o remunerado */          ;1;0;238;c;TRUE
239;V4044;$5.;/* Atividade no trab. secund?rio */          ;5;0;243;c;TRUE
244;V4045;$1.;/* Esse trabalho era na ?rea */         ;1;0;244;c;TRUE
245;V4046;$1.;/* Neg?cio/empresa registrado no CNPJ*/           ;1;0;245;c;TRUE
246;V4047;$1.;/* Servidor p?blico estatut?rio */           ;1;0;246;c;TRUE
247;V4048;$1.;/* Carteira de trabalho assinada */          ;1;0;247;c;TRUE
248;V4049;$1.;/* Contribuinte de instit. d previd. */         ;1;0;248;c;TRUE
249;V4050;$1.;/* Rendimento habitual var. auxil. */          ;1;0;249;c;TRUE
250;V40501;$1.;/* Rendimento habitual em dinheiro */          ;1;0;250;c;TRUE
251;V405011;$1.;/* Faixa do valor do rendimento hab. */        ;1;0;251;c;TRUE
252;V405012;8.;/* Valor do rend. hab. em dinheiro */        ;8;0;259;i;FALSE
260;V40502;$1.;/* Rendimento habitual em produtos */          ;1;0;260;c;TRUE
261;V405021;$1.;/* Faixa do valor do rendimento hab. */        ;1;0;261;c;TRUE
262;V405022;8.;/* Valor do rend. hab. em produtos */        ;8;0;269;i;FALSE
270;V40503;$1.;/* Rendimento habitual em benef?cios */          ;1;0;270;c;TRUE
271;V405031;$1.;/* Tipo rend. habitual em benef?cios */         ;1;0;271;c;TRUE
272;V4051;$1.;/* Rendimento efetivo var. auxil. */          ;1;0;272;c;TRUE
273;V40511;$1.;/* Rendimento efetivo em dinheiro */          ;1;0;273;c;TRUE
274;V405111;$1.;/* Faixa do valor do rendimento efe. */        ;1;0;274;c;TRUE
275;V405112;8.;/* Valor do rend. efe. em dinheiro */        ;8;0;282;i;FALSE
283;V40512;$1.;/* Rendimento efetivo em produtos */          ;1;0;283;c;TRUE
284;V405121;$1.;/* Faixa do valor do rendimento efe. */        ;1;0;284;c;TRUE
285;V405122;8.;/* Valor do rend. efe. em produtos */        ;8;0;292;i;FALSE
293;V4052;$1.;/* Jornada de trab. das 5 da manh? as 10 da noite */   ;1;0;293;c;TRUE
294;V4053;$1.;/* Jornada de trab. das 10 da noite as 5 da manh?*/    ;1;0;294;c;TRUE
295;V4056;3.;/* Hrs habituais no trab. secun. */         ;3;0;297;i;FALSE
298;V4056C;3.;/* Hrs efetivas no trab. secun. */         ;3;0;300;i;FALSE
301;V4057;$1.;/* Contribuinte de instit. d previd. */         ;1;0;301;c;TRUE
302;V4058;$1.;/* Rendimento habitual var. auxil. */          ;1;0;302;c;TRUE
303;V40581;$1.;/* Rendimento habitual em dinheiro */          ;1;0;303;c;TRUE
304;V405811;$1.;/* Faixa do valor do rendimento hab. */        ;1;0;304;c;TRUE
305;V405812;8.;/* Valor do rend. hab. em dinheiro */        ;8;0;312;i;FALSE
313;V40582;$1.;/* Rendimento habitual em produtos */          ;1;0;313;c;TRUE
314;V405821;$1.;/* Faixa do valor do rendimento hab. */        ;1;0;314;c;TRUE
315;V405822;8.;/* Valor do rend. hab. em produtos */        ;8;0;322;i;FALSE
323;V40583;$1.;/* Rendimento habitual em benef?cios */          ;1;0;323;c;TRUE
324;V405831;$1.;/* Tipo rend. habitual em benef?cios */         ;1;0;324;c;TRUE
325;V40584;$1.;/* N?o remunerado */            ;1;0;325;c;TRUE
326;V4059;$1.;/* Rendimento efetivo var. auxil. */          ;1;0;326;c;TRUE
327;V40591;$1.;/* Rendimento efetivo em dinheiro */          ;1;0;327;c;TRUE
328;V405911;$1.;/* Faixa do valor do rendimento efe. */        ;1;0;328;c;TRUE
329;V405912;8.;/* Valor do rend. efe. em dinheiro */        ;8;0;336;i;FALSE
337;V40592;$1.;/* Rendimento efetivo em produtos */          ;1;0;337;c;TRUE
338;V405921;$1.;/* Faixa do valor do rendimento efe. */        ;1;0;338;c;TRUE
339;V405922;8.;/* Valor do rend. efe. em produtos */        ;8;0;346;i;FALSE
347;V4062;3.;/* Hrs habituais no(s) outro(s) trab.*/          ;3;0;349;i;FALSE
350;V4062C;3.;/* Hrs efetivas no(s) outro(s) trab .*/         ;3;0;352;i;FALSE
353;V4063A;$1.;/* Gostaria trabalhar + hrs habituais*/          ;1;0;353;c;TRUE
354;V4064A;$1.;/* Dispon. trabalhar + hrs habituais */         ;1;0;354;c;TRUE
355;V4071;$1.;/* Provid?ncia p/ conseg. trab.(30d) */          ;1;0;355;c;TRUE
356;V4072A;$1.;/* Principal provid. p/conseg. trab. */          ;1;0;356;c;TRUE
357;V4073;$1.;/* Gostaria de ter trabalhado */          ;1;0;357;c;TRUE
358;V4074A;$2.;/* Motivo de n?o ter tomado provid. */        ;2;0;359;c;TRUE
360;V4075A;$1.;/* Tempo em que ir? come?ar o trab. */       ;1;0;360;c;TRUE
361;V4075A1;$2.;/* Meses em que ir? come?ar o trab. */       ;2;0;362;c;TRUE
363;V4076;$1.;/* Tempo tentando conseguir trabalho */          ;1;0;363;c;TRUE
364;V40761;2.;/* Tempo tentando trab. 1 mes-1 ano */        ;2;0;365;i;FALSE
366;V40762;2.;/* Tempo tentando trab. 1 ano-2 anos */        ;2;0;367;i;FALSE
368;V40763;2.;/* Tempo tentando trab. + de 2 anos */       ;2;0;369;i;FALSE
370;V4077;$1.;/* Poderia ter come?ado a trabalhar */         ;1;0;370;c;TRUE
371;V4078A;$1.;/* Motivo p /? querer/come?ar a trab. */        ;1;0;371;c;TRUE
372;V4082;$1.;/* Trab por pelo menos 1 hora em 1 ano*/      ;1;0;372;c;TRUE
373;V4097;$1.;/* Era associado a algum sindicato*/          ;1;0;373;c;TRUE
374;V5001A;$1.;/* Recebeu BPC-LOAS */            ;1;0;374;c;TRUE
375;V5001A2;8.;/* Rend recebido de BPC-LOAS */          ;8;0;382;i;FALSE
383;V5002A;$1.;/* Recebeu bolsa fam?lia */           ;1;0;383;c;TRUE
384;V5002A2;8.;/* Rend recebido de bolsa familia */         ;8;0;391;i;FALSE
392;V5003A;$1.;/* Recebeu outro prog social */          ;1;0;392;c;TRUE
393;V5003A2;8.;/* Rend recebido de outro prog social */        ;8;0;400;i;FALSE
401;V5004A;$1.;/* Recebeu aposentadoria e pens?o */          ;1;0;401;c;TRUE
402;V5004A2;8.;/* Rend recebido de aposentadoria e pens?o */        ;8;0;409;i;FALSE
410;V5006A;$1.;/* Recebeu pens?o aliment?cia, doa??o, etc */         ;1;0;410;c;TRUE
411;V5006A2;8.;/* Rend recebido por pens?o aliment?cia, doa??o, etc */       ;8;0;418;i;FALSE
419;V5007A;$1.;/* Recebeu aluguel e arrendamento */          ;1;0;419;c;TRUE
420;V5007A2;8.;/* Rend recebido aluguel e arrendamento */         ;8;0;427;i;FALSE
428;S01001;$1.;/* Domic?lio ? do tipo: */          ;1;0;428;c;TRUE
429;S01002;$1.;/* Material predominante na constru??o das paredes externas */       ;1;0;429;c;TRUE
430;S01003;$1.;/* Material predominante na cobertura (telhado) */         ;1;0;430;c;TRUE
431;S01004;$1.;/* Material predominante no piso */          ;1;0;431;c;TRUE
432;S01005;2.;/* N?mero de c?modos */           ;2;0;433;i;FALSE
434;S01006;2.;/* N?mero de c?modos servem permanentemente de dormit?rio para os moradores */    ;2;0;435;i;FALSE
436;S01007;$1.;/* Principal forma de abastecimento de ?gua utilizada */       ;1;0;436;c;TRUE
437;S01008;$1.;/* Frequ?ncia que a ?gua proveniente de rede geral esteve dispon?vel */    ;1;0;437;c;TRUE
438;S01009;$1.;/* Possui ou faz uso de reservat?rio, caixa d'?gua, cisterna, para armazenar a ?gua */ ;1;0;438;c;TRUE
439;S01010;$1.;/* A ?gua utilizada neste domic?lio chega: */        ;1;0;439;c;TRUE
440;S01011;2.;/* N?mero de banheiros, sanit?rios ou buracos para deje??es existentes */     ;2;0;441;i;FALSE
442;S01012;$1.;/* Forma que ? feito o escoadouro deste(s) banheiro(s) ou sanit?rio(s) ou buracos */  ;1;0;442;c;TRUE
443;S01013;$1.;/* Qual ? o (principal) destino dado ao lixo? */      ;1;0;443;c;TRUE
444;S01014;$1.;/* Origem da energia el?trica utilizada */         ;1;0;444;c;TRUE
445;S010141;$1.;/* A origem da energia eletrica ? de rede geral? */     ;1;0;445;c;TRUE
446;S010142;$1.;/* H? outra origem de energia eletrica (gerador, placa solar, e?lica)? */    ;1;0;446;c;TRUE
447;S01015;$1.;/* Frequ?ncia que a energia el?trica, proveniente de rede geral, est? habitualmente dispon?vel */  ;1;0;447;c;TRUE
448;S01016;$1.;/* Combust?vel(is) s?o utilizados neste domic?lio na prepara??o dos alimentos? */     ;1;0;448;c;TRUE
449;S010161;$1.;/* Utiliza g?s de botij?o ou encanado na prepara??o de alimentos? */    ;1;0;449;c;TRUE
450;S010162;$1.;/* Utiliza lenha ou carv?o na prepara??o de alimentos? */      ;1;0;450;c;TRUE
451;S010163;$1.;/* Utiliza energia eletrica na prepara??o de alimentos? */       ;1;0;451;c;TRUE
452;S010164;$1.;/* Utiliza outro combustivel na prepara??o de alimentos? */       ;1;0;452;c;TRUE
453;S01017;$1.;/* Este domic?lio ?: */           ;1;0;453;c;TRUE
454;S01018;8.;/* Valor da presta??o paga, ou que deveria ter sido paga, no m?s de refer?ncia */;8;0;461;i;FALSE
462;S01019;8.;/* Valor do aluguel pago, ou que deveria ter sido pago, no m?s de refer?ncia */;8;0;469;i;FALSE
470;S01020;$1.;/* O terreno onde est? localizado este domic?lio ? pr?prio? */     ;1;0;470;c;TRUE
471;S01021;2.;/* N?mero de moradores que t?m telefone m?vel celular para uso pessoal */   ;2;0;472;i;FALSE
473;S01022;$1.;/* Este domic?lio tem telefone fixo convencional? */        ;1;0;473;c;TRUE
474;S01023;$1.;/* Este domic?lio tem geladeira? */          ;1;0;474;c;TRUE
475;S01024;$1.;/* Este domic?lio tem m?quina de lavar roupa? */       ;1;0;475;c;TRUE
476;S01025;$1.;/* Este domic?lio tem televis?o? */          ;1;0;476;c;TRUE
477;S01026;$1.;/* Possui servi?o de televis?o por assinatura */        ;1;0;477;c;TRUE
478;S01027;$1.;/* Tem televis?o com antena parab?lica */         ;1;0;478;c;TRUE
479;S01028;$1.;/* Tem microcomputador (considere inclusive os port?teis) */        ;1;0;479;c;TRUE
480;S01029;$1.;/* Acessa ? Internet por meio de microcomputador, tablet, celular, televis?o ou outro equipamento? */ ;1;0;480;c;TRUE
481;S01030;$1.;/* Utiliza para acessar ? Internet: */         ;1;0;481;c;TRUE
482;S010301;$1.;/* Utiliza microcomputador (de mesa ou port?til) para acessar ? Internet */    ;1;0;482;c;TRUE
483;S010302;$1.;/* Utiliza tablet para acessar ? Internet */        ;1;0;483;c;TRUE
484;S010303;$1.;/* Utiliza telefone m?vel celular para acessar ? Internet */      ;1;0;484;c;TRUE
485;S010304;$1.;/* Utiliza televis?o para acessar ? Internet */        ;1;0;485;c;TRUE
486;S010305;$1.;/* Utiliza outro equipamento eletr?nico para acessar ? Internet */      ;1;0;486;c;TRUE
487;S01031;$1.;/* Possui autom?vel ou motocicleta de uso pessoal? */       ;1;0;487;c;TRUE
488;S010311;$1.;/* Possui autom?vel para uso pessoal? */         ;1;0;488;c;TRUE
489;S010312;$1.;/* Possui motocicleta para uso pessoal? */         ;1;0;489;c;TRUE
490;VD2002;$2.;/* Condi??o no domic?lio */           ;2;0;491;c;TRUE
492;VD2003;2.;/* N?mero de componentes do domic. */         ;2;0;493;i;FALSE
494;VD2004;$1.;/* Esp?cie da unidade dom?stica*/           ;1;0;494;c;TRUE
495;VD3001;$1.;/* N?vel de instru??o */           ;1;0;495;c;TRUE
496;VD3005;$2.;/* Anos de estudo (5 anos ou mais de idade) */     ;2;0;497;c;TRUE
498;VD3006;$1.;/* Grupamento de anos de estudo (pessoas de 5 anos ou mais de idade) padronizado para o Ensino fundamental com duração de 9 anos*/ ;1;0;498;c;TRUE
607;VD5005;8.;/* rendimento efetivo domiciliar */;8;0;614;i;FALSE
